"taskOrder"	"JobNo"	"EmpNo"	"TransDate"	"Hours"
"119"	"Bravo"	"Bravo RFS 001"	"559026"	"2018-06"	124.25
"120"	"Bravo"	"Bravo RFS 001"	"559026"	"2018-07"	129.5
"121"	"Bravo"	"Bravo RFS 001"	"559026"	"2018-08"	124.5
"122"	"Bravo"	"Bravo RFS 001"	"559026"	"2018-09"	34.5
"123"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-03"	40
"124"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-04"	32
"125"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-05"	20
"126"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-06"	12
"127"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-07"	20
"128"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-08"	15
"129"	"Bravo"	"Bravo RFS 001"	"560257"	"2018-09"	15
"130"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-02"	114
"131"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-03"	165.5
"132"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-04"	164
"133"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-05"	144
"134"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-06"	168
"135"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-07"	148
"136"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-08"	184
"137"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-09"	144
"138"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-10"	90
"139"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-11"	40
"140"	"Bravo"	"Bravo RFS 001"	"560435"	"2018-12"	40
"141"	"Bravo"	"Bravo RFS 001"	"560435"	"2019-01"	2
"142"	"Bravo"	"Bravo RFS 001"	"561418"	"2018-03"	4
"143"	"Bravo"	"Bravo RFS 001"	"561418"	"2018-04"	3
"144"	"Bravo"	"Bravo RFS 001"	"561418"	"2018-05"	4
"145"	"Bravo"	"Bravo RFS 001"	"561418"	"2018-07"	4
"146"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-03"	10
"147"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-04"	8
"148"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-05"	4
"149"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-07"	8
"150"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-08"	5.25
"151"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-09"	8.25
"152"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-10"	9
"153"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-11"	3.5
"154"	"Bravo"	"Bravo RFS 001"	"565937"	"2018-12"	3.25
"155"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-02"	2
"156"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-03"	10
"157"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-04"	67.75
"158"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-05"	39.75
"159"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-06"	90.25
"160"	"Bravo"	"Bravo RFS 001"	"566041"	"2018-07"	77
"161"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-03"	45.75
"162"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-04"	112
"163"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-05"	82
"164"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-06"	84
"165"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-07"	80
"166"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-08"	78.5
"167"	"Bravo"	"Bravo RFS 001"	"569486"	"2018-09"	47.25
"168"	"Bravo"	"Bravo RFS 001"	"572059"	"2018-05"	40
"169"	"Bravo"	"Bravo RFS 001"	"572059"	"2018-06"	31
"170"	"Bravo"	"Bravo RFS 001"	"572059"	"2018-07"	40
"171"	"Bravo"	"Bravo RFS 001"	"572059"	"2018-08"	40
"172"	"Bravo"	"Bravo RFS 001"	"572059"	"2018-09"	10
"173"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-03"	174
"174"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-04"	152
"175"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-05"	238
"176"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-06"	166
"177"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-07"	156
"178"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-08"	176
"179"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-09"	133
"180"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-10"	176
"181"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-11"	127
"182"	"Bravo"	"Bravo RFS 001"	"572349"	"2018-12"	128
"183"	"Bravo"	"Bravo RFS 001"	"572349"	"2019-01"	8
"184"	"Bravo"	"Bravo RFS 001"	"576513"	"2018-04"	8
"185"	"Bravo"	"Bravo RFS 001"	"576513"	"2018-05"	12.5
"186"	"Bravo"	"Bravo RFS 001"	"576513"	"2018-06"	8
"187"	"Bravo"	"Bravo RFS 001"	"576513"	"2018-07"	4.5
"188"	"Bravo"	"Bravo RFS 001"	"576513"	"2018-08"	8
"189"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-02"	5.5
"190"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-03"	28.5
"191"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-04"	54
"192"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-05"	86
"193"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-06"	43
"194"	"Bravo"	"Bravo RFS 001"	"577754"	"2018-08"	17.5
"195"	"Bravo"	"Bravo RFS 001"	"578765"	"2018-10"	51
"196"	"Bravo"	"Bravo RFS 001"	"580015"	"2018-03"	47
"197"	"Bravo"	"Bravo RFS 001"	"580015"	"2018-04"	1
"198"	"Bravo"	"Bravo RFS 001"	"580015"	"2018-05"	2
"199"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-02"	136
"200"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-03"	176
"201"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-04"	158
"202"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-05"	204
"203"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-06"	121
"204"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-07"	126
"205"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-08"	111
"206"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-09"	148
"207"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-10"	88
"208"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-11"	77
"209"	"Bravo"	"Bravo RFS 001"	"580919"	"2018-12"	80
"210"	"Bravo"	"Bravo RFS 001"	"580919"	"2019-01"	4
"211"	"Bravo"	"Bravo RFS 001"	"580921"	"2018-03"	8
"212"	"Bravo"	"Bravo RFS 001"	"580921"	"2018-07"	2
"213"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-02"	145
"214"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-03"	172
"215"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-04"	163.75
"216"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-05"	219
"217"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-06"	114.5
"218"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-07"	123
"219"	"Bravo"	"Bravo RFS 001"	"581145"	"2018-08"	140
"220"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-03"	2
"221"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-04"	5
"222"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-05"	4
"223"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-06"	5
"224"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-07"	6
"225"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-08"	2
"226"	"Bravo"	"Bravo RFS 001"	"581165"	"2018-12"	8
"227"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-02"	16.5
"228"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-03"	27.5
"229"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-04"	50
"230"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-05"	114
"231"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-06"	109
"232"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-07"	109
"233"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-08"	89
"234"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-09"	38
"235"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-10"	44
"236"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-11"	40
"237"	"Bravo"	"Bravo RFS 001"	"581524"	"2018-12"	17.5
"238"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-07"	32
"239"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-08"	120
"240"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-09"	64
"241"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-10"	44
"242"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-11"	33
"243"	"Bravo"	"Bravo RFS 001"	"582041"	"2018-12"	10
"244"	"Bravo"	"Bravo RFS 001"	"582770"	"2018-07"	47
"245"	"Bravo"	"Bravo RFS 001"	"582770"	"2018-08"	63
"246"	"Bravo"	"Bravo RFS 001"	"582770"	"2018-09"	14.5
"247"	"Bravo"	"Bravo RFS 001"	"582770"	"2018-11"	21
"248"	"Bravo"	"Bravo RFS 001"	"582770"	"2018-12"	40.5
"249"	"Bravo"	"Bravo RFS 001"	"585923"	"2018-02"	2
"250"	"Bravo"	"Bravo RFS 001"	"585923"	"2018-03"	8
"251"	"Bravo"	"Bravo RFS 001"	"585923"	"2018-04"	12
"252"	"Bravo"	"Bravo RFS 001"	"585923"	"2018-05"	4
"253"	"Bravo"	"Bravo RFS 001"	"586349"	"2018-03"	44
"254"	"Bravo"	"Bravo RFS 001"	"586349"	"2018-04"	3
"255"	"Bravo"	"Bravo RFS 001"	"586349"	"2018-05"	35
"256"	"Bravo"	"Bravo RFS 001"	"586349"	"2018-06"	43
"257"	"Bravo"	"Bravo RFS 001"	"586349"	"2018-07"	35
"258"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-03"	20
"259"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-04"	4
"260"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-05"	80
"261"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-06"	76
"262"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-07"	80
"263"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-08"	80
"264"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-09"	80
"265"	"Bravo"	"Bravo RFS 001"	"586932"	"2018-10"	20
"266"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-04"	3
"267"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-05"	35
"268"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-06"	21.5
"269"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-07"	30
"270"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-10"	13
"271"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-11"	8
"272"	"Bravo"	"Bravo RFS 001"	"587515"	"2018-12"	5.5
"273"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-03"	10
"274"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-04"	20
"275"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-05"	74.5
"276"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-06"	39
"277"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-07"	42.75
"278"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-08"	52
"279"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-09"	8.25
"280"	"Bravo"	"Bravo RFS 001"	"588509"	"2018-10"	3.5
"281"	"Bravo"	"Bravo RFS 001"	"589525"	"2018-03"	26
