"lineID"	"empID"	"hours"	"taskOrder"	"task"	"month"
"86"	"B.Y1.RFS001.Task.3.LB.DEF.B.43574"	"596696"	"18"	"Bravo"	"Y1.RFS001"	"2019-04"
"87"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"599940"	"18"	"Bravo"	"Y1.RFS001"	"2019-05"
"88"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"560435"	"88"	"Bravo"	"Y1.RFS001"	"2019-05"
"89"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"581524"	"18"	"Bravo"	"Y1.RFS001"	"2019-05"
"90"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"600099"	"8"	"Bravo"	"Y1.RFS001"	"2019-05"
"91"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"547825"	"88"	"Bravo"	"Y1.RFS001"	"2019-05"
"92"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"592855"	"88"	"Bravo"	"Y1.RFS001"	"2019-05"
"93"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"580919"	"44"	"Bravo"	"Y1.RFS001"	"2019-05"
"94"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"544094"	"176"	"Bravo"	"Y1.RFS001"	"2019-05"
"95"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"96"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-05"
"97"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"544848"	"40"	"Bravo"	"Y1.RFS001"	"2019-05"
"98"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"554288"	"18"	"Bravo"	"Y1.RFS001"	"2019-05"
"99"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"100"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-05"
"101"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"102"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"103"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"104"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-05"
"105"	"B.Y1.RFS001.Task.3.LB.DEF.B.43604"	"596696"	"18"	"Bravo"	"Y1.RFS001"	"2019-05"
"106"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"599940"	"16"	"Bravo"	"Y1.RFS001"	"2019-06"
"107"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"560435"	"80"	"Bravo"	"Y1.RFS001"	"2019-06"
"108"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"581524"	"16"	"Bravo"	"Y1.RFS001"	"2019-06"
"109"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"600099"	"6"	"Bravo"	"Y1.RFS001"	"2019-06"
"110"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"547825"	"80"	"Bravo"	"Y1.RFS001"	"2019-06"
"111"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"592855"	"80"	"Bravo"	"Y1.RFS001"	"2019-06"
"112"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"580919"	"40"	"Bravo"	"Y1.RFS001"	"2019-06"
"113"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"544094"	"160"	"Bravo"	"Y1.RFS001"	"2019-06"
"114"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"115"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-06"
"116"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"554288"	"16"	"Bravo"	"Y1.RFS001"	"2019-06"
"117"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"589525"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"118"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"539227"	"10"	"Bravo"	"Y1.RFS001"	"2019-06"
"119"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"565937"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"120"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"594822"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"121"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"589679"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"122"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"595900"	"5"	"Bravo"	"Y1.RFS001"	"2019-06"
"123"	"B.Y1.RFS001.Task.3.LB.DEF.B.43635"	"596696"	"16"	"Bravo"	"Y1.RFS001"	"2019-06"
"124"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"599940"	"18"	"Bravo"	"Y1.RFS001"	"2019-07"
"125"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"560435"	"88"	"Bravo"	"Y1.RFS001"	"2019-07"
"126"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"581524"	"18"	"Bravo"	"Y1.RFS001"	"2019-07"
"127"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"600099"	"8"	"Bravo"	"Y1.RFS001"	"2019-07"
"128"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"547825"	"88"	"Bravo"	"Y1.RFS001"	"2019-07"
"129"	"B.Y1.RFS001.Task.3.LB.DEF.B.43665"	"592855"	"88"	"Bravo"	"Y1.RFS001"	"2019-07"
